Pononga
Ākonga
Mōkai
Manuhiri
Tamaiti
Mokopuna
Irāmutu
Manu 
Ngeru
Ika
Ngārara
Kurī
Kau
Heihei
Noke
Tuangi
Rākau
Nīkau
Putiputi
Kamokamo
Kūmara
Mīti
Kaimoana
Aihikīrimi
Waireka
Mahi
Kawe
Ritenga
Oma
Rere
Pūrere
Mīhini
Kōhua
Kapu
Māripi
Tītāora
Taputapu
Rama
Waea
Karaka
Kutikuti
Ahi
Wahie
Hopi
Pani
Paura
Whēru
Paraihe
Kani
Whao
Peita
Taura
Kāheru
Kō
Wairākau
Rorohiko
Pūreretā
Pene
Pepa
Pukapuka
Pōro
Papawīra
Kutarere
Kete
Pēke
Moni
Pūtea
Kī
āporo
parāoa
pūngāwere
huka
pata
hēki
rēmana
kokonati
miraka
tēpu
umu
pune
taringa
kauta
poitūkohu
moenga
poitarawhiti
whutupōro
tārere
karu
